iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d,geo_shape
1957,Auber,2024-01-04T14:00:00+00:00,,,Inconnu,2142,Auber-Pl_Garnier,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.33190218871428,48.87087591902754,Feature,"[[2.3318150304093743, 48.87110141457876], [2.3319893470191855, 48.87065042347631]]",LineString,,
1954,Bd_des_Capucines,2024-01-04T22:00:00+00:00,548.0,6.01611,Fluide,2138,Bd_des_Italiens-Chaussee_d'Antin,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3334843022176948,48.87090214227108,Feature,"[[2.3344422808092893, 48.87107082404565], [2.3325263236261002, 48.870733460496496]]",LineString,,
1954,Bd_des_Capucines,2024-01-04T20:00:00+00:00,595.0,4.895,Fluide,2138,Bd_des_Italiens-Chaussee_d'Antin,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3334843022176948,48.87090214227108,Feature,"[[2.3344422808092893, 48.87107082404565], [2.3325263236261002, 48.870733460496496]]",LineString,,
1954,Bd_des_Capucines,2024-01-04T18:00:00+00:00,733.0,16.56111,Pré-saturé,2138,Bd_des_Italiens-Chaussee_d'Antin,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3334843022176948,48.87090214227108,Feature,"[[2.3344422808092893, 48.87107082404565], [2.3325263236261002, 48.870733460496496]]",LineString,,
1954,Bd_des_Capucines,2024-01-04T14:00:00+00:00,758.0,6.70333,Fluide,2138,Bd_des_Italiens-Chaussee_d'Antin,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3334843022176948,48.87090214227108,Feature,"[[2.3344422808092893, 48.87107082404565], [2.3325263236261002, 48.870733460496496]]",LineString,,
1961,Av_de_l'Opera,2024-01-04T22:00:00+00:00,,,Inconnu,211,Av_de_l'Opera-Antin-Augustin,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3328806890728804,48.869541361182556,Feature,"[[2.333158304423229, 48.8688628796651], [2.332603073722532, 48.8702198427]]",LineString,,
1961,Av_de_l'Opera,2024-01-04T21:00:00+00:00,,,Inconnu,211,Av_de_l'Opera-Antin-Augustin,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3328806890728804,48.869541361182556,Feature,"[[2.333158304423229, 48.8688628796651], [2.332603073722532, 48.8702198427]]",LineString,,
1961,Av_de_l'Opera,2024-01-04T20:00:00+00:00,,,Inconnu,211,Av_de_l'Opera-Antin-Augustin,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3328806890728804,48.869541361182556,Feature,"[[2.333158304423229, 48.8688628796651], [2.332603073722532, 48.8702198427]]",LineString,,
1961,Av_de_l'Opera,2024-01-04T17:00:00+00:00,,,Inconnu,211,Av_de_l'Opera-Antin-Augustin,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3328806890728804,48.869541361182556,Feature,"[[2.333158304423229, 48.8688628796651], [2.332603073722532, 48.8702198427]]",LineString,,
1961,Av_de_l'Opera,2024-01-04T15:00:00+00:00,,,Inconnu,211,Av_de_l'Opera-Antin-Augustin,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3328806890728804,48.869541361182556,Feature,"[[2.333158304423229, 48.8688628796651], [2.332603073722532, 48.8702198427]]",LineString,,
